,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
13684,2005,Nepal,Not free,"political behavior, process",removal of politician,6000
13685,2005,Nepal,Not free,"political behavior, process",removal of politician,7000
13686,2005,Nepal,Not free,"political behavior, process",,87
13687,2005,Nepal,Not free,"political behavior, process",,100
13688,2005,Nepal,Not free,"political behavior, process",,100
13689,2006,Nepal,Partly free,"political behavior, process",,1000
13690,2006,Nepal,Partly free,"political behavior, process",,1000
13691,2006,Nepal,Partly free,"political behavior, process",,1000
13692,2006,Nepal,Partly free,"political behavior, process",,1000
13693,2006,Nepal,Partly free,"political behavior, process",police brutality,100
13694,2006,Nepal,Partly free,"political behavior, process",,100
13695,2006,Nepal,Partly free,"political behavior, process",,1000
13696,2006,Nepal,Partly free,"political behavior, process",,1000
13697,2006,Nepal,Partly free,"political behavior, process",,50
13698,2006,Nepal,Partly free,"political behavior, process",,8000
13699,2006,Nepal,Partly free,"political behavior, process",,200
13700,2006,Nepal,Partly free,"political behavior, process",,1000
13701,2006,Nepal,Partly free,"political behavior, process",,100
13702,2006,Nepal,Partly free,"political behavior, process",,1000
13703,2006,Nepal,Partly free,"political behavior, process",,10000
13704,2006,Nepal,Partly free,"political behavior, process",,100000
13705,2006,Nepal,Partly free,removal of politician,,150000
13706,2006,Nepal,Partly free,removal of politician,,10000
13707,2006,Nepal,Partly free,removal of politician,,1000
13708,2006,Nepal,Partly free,"political behavior, process",,200000
13709,2006,Nepal,Partly free,"political behavior, process",,1000
13710,2006,Nepal,Partly free,"political behavior, process",,2000
13711,2006,Nepal,Partly free,"political behavior, process",,50
13712,2007,Nepal,Partly free,"political behavior, process",,100
13713,2007,Nepal,Partly free,"political behavior, process",,50
13714,2007,Nepal,Partly free,removal of politician,,2500
13715,2007,Nepal,Partly free,"political behavior, process",social restrictions,100
13716,2007,Nepal,Partly free,"political behavior, process",,100
13717,2007,Nepal,Partly free,removal of politician,,1000
13718,2008,Nepal,Partly free,"political behavior, process",,100
13719,2008,Nepal,Partly free,"price increases, tax policy",,100
13720,2008,Nepal,Partly free,removal of politician,,10000
13721,2008,Nepal,Partly free,removal of politician,,100
13722,2008,Nepal,Partly free,police brutality,,500
13723,2009,Nepal,Partly free,labor wage dispute,,100
13724,2009,Nepal,Partly free,"political behavior, process",,10000
13725,2009,Nepal,Partly free,removal of politician,,300
13726,2009,Nepal,Partly free,"political behavior, process",removal of politician,50000
13727,2009,Nepal,Partly free,"political behavior, process",,100
13728,2009,Nepal,Partly free,"political behavior, process",social restrictions,200
13729,2009,Nepal,Partly free,"political behavior, process",,10000
13730,2009,Nepal,Partly free,"political behavior, process",,10000
13731,2009,Nepal,Partly free,"political behavior, process",,1000
13732,2010,Nepal,Partly free,"political behavior, process",,100
13733,2010,Nepal,Partly free,"political behavior, process",removal of politician,100000
13734,2010,Nepal,Partly free,labor wage dispute,,50
13735,2011,Nepal,Partly free,social restrictions,labor wage dispute,100s
13736,2011,Nepal,Partly free,"political behavior, process",,1000s
13737,2011,Nepal,Partly free,social restrictions,"political behavior, process",500
13738,2012,Nepal,Partly free,social restrictions,"political behavior, process",>50
13739,2012,Nepal,Partly free,"political behavior, process",,1000s
13740,2012,Nepal,Partly free,"political behavior, process",,1000s
13741,2012,Nepal,Partly free,"political behavior, process",removal of politician,1000s
13742,2012,Nepal,Partly free,removal of politician,,100s
13743,2012,Nepal,Partly free,"political behavior, process",,100s
13744,2013,Nepal,Partly free,social restrictions,"political behavior, process",100s
13745,2013,Nepal,Partly free,social restrictions,"political behavior, process",100s
13746,2013,Nepal,Partly free,"political behavior, process",removal of politician,100s
13747,2013,Nepal,Partly free,social restrictions,"political behavior, process",100s
13748,2013,Nepal,Partly free,"political behavior, process",,>50
13749,2014,Nepal,Partly free,"price increases, tax policy",,100+
13750,2015,Nepal,Partly free,"political behavior, process",,>50
13751,2015,Nepal,Partly free,"political behavior, process",,35000
13752,2015,Nepal,Partly free,"political behavior, process",,>50
13753,2015,Nepal,Partly free,"political behavior, process",,>50
13754,2015,Nepal,Partly free,"political behavior, process",,1000s
13755,2015,Nepal,Partly free,"political behavior, process",,200
13756,2015,Nepal,Partly free,"political behavior, process",,>50
13757,2015,Nepal,Partly free,"political behavior, process",,100s
13758,2015,Nepal,Partly free,"political behavior, process",police brutality,>50
13759,2015,Nepal,Partly free,"political behavior, process",,>50
13760,2015,Nepal,Partly free,"political behavior, process",,51
13761,2015,Nepal,Partly free,"political behavior, process",,1000s
13762,2015,Nepal,Partly free,"political behavior, process",police brutality,100s
13763,2015,Nepal,Partly free,"political behavior, process",,1000s
13764,2015,Nepal,Partly free,"political behavior, process",,100s
13765,2015,Nepal,Partly free,"political behavior, process",,>1000
13766,2015,Nepal,Partly free,"political behavior, process",,100s
13767,2015,Nepal,Partly free,"political behavior, process",,>50
13768,2016,Nepal,Partly free,"political behavior, process",,More than 100 people
13769,2016,Nepal,Partly free,"political behavior, process",,About 500 demonstrators
13770,2016,Nepal,Partly free,police brutality,,>50
13771,2018,Nepal,Partly free,"political behavior, process",,1000s
13772,2018,Nepal,Partly free,"political behavior, process",,1500
13773,2018,Nepal,Partly free,"political behavior, process",,100+
13774,1991,Thailand,Partly free,"political behavior, process",,1000
13775,1992,Thailand,Partly free,removal of politician,,55000
13776,1992,Thailand,Partly free,removal of politician,,50000
13777,1992,Thailand,Partly free,removal of politician,,100000
13778,1992,Thailand,Partly free,removal of politician,,200000
13779,1993,Thailand,Partly free,land farm issue,,1000
13780,1993,Thailand,Partly free,land farm issue,,8000
13781,1994,Thailand,Partly free,"political behavior, process",,5000
13782,1994,Thailand,Partly free,"political behavior, process",,8000
13783,1997,Thailand,Partly free,land farm issue,,10000
13784,1997,Thailand,Partly free,land farm issue,,100
13785,1997,Thailand,Partly free,land farm issue,,1000
13786,1997,Thailand,Partly free,removal of politician,,8000
13787,1997,Thailand,Partly free,land farm issue,,50
13788,1998,Thailand,Free,"political behavior, process",,7000
13789,1998,Thailand,Free,"political behavior, process",,30000
13790,1998,Thailand,Free,labor wage dispute,,500
13791,1998,Thailand,Free,land farm issue,,200
13792,1998,Thailand,Free,land farm issue,,5000
13793,1999,Thailand,Free,land farm issue,,4000
13794,1999,Thailand,Free,land farm issue,,3000
13795,1999,Thailand,Free,labor wage dispute,,1500
13796,2000,Thailand,Free,"political behavior, process",,3000
13797,2000,Thailand,Free,land farm issue,,50
13798,2000,Thailand,Free,land farm issue,,800
13799,2000,Thailand,Free,removal of politician,,4000
13800,2000,Thailand,Free,"political behavior, process",,1000
13801,2000,Thailand,Free,removal of politician,,1000
13802,2000,Thailand,Free,removal of politician,,2000
13803,2001,Thailand,Free,"political behavior, process",,1000
13804,2001,Thailand,Free,labor wage dispute,,50
13805,2001,Thailand,Free,land farm issue,,150
13806,2001,Thailand,Free,social restrictions,,1000
13807,2001,Thailand,Free,social restrictions,,100
13808,2001,Thailand,Free,land farm issue,,130
13809,2001,Thailand,Free,social restrictions,,100
13810,2001,Thailand,Free,land farm issue,,100
13811,2001,Thailand,Free,"political behavior, process",,10000
13812,2001,Thailand,Free,"political behavior, process",,2000
13813,2001,Thailand,Free,social restrictions,,1000
13814,2002,Thailand,Free,land farm issue,,2000
13815,2002,Thailand,Free,land farm issue,,10000
13816,2002,Thailand,Free,social restrictions,,500
13817,2002,Thailand,Free,land farm issue,,2300
13818,2002,Thailand,Free,land farm issue,,10000
13819,2002,Thailand,Free,social restrictions,,1000
13820,2002,Thailand,Free,social restrictions,,20000
13821,2002,Thailand,Free,land farm issue,,1000
13822,2003,Thailand,Free,land farm issue,,50
13823,2003,Thailand,Free,land farm issue,,700
13824,2003,Thailand,Free,labor wage dispute,,100
13825,2003,Thailand,Free,"political behavior, process",,100
13826,2003,Thailand,Free,labor wage dispute,,50
13827,2003,Thailand,Free,labor wage dispute,,1000
13828,2003,Thailand,Free,labor wage dispute,,20000
13829,2003,Thailand,Free,"political behavior, process",,1000
13830,2004,Thailand,Free,police brutality,,500
13831,2004,Thailand,Free,labor wage dispute,,500
13832,2004,Thailand,Free,labor wage dispute,,30000
13833,2004,Thailand,Free,labor wage dispute,,50
13834,2004,Thailand,Free,labor wage dispute,,50
13835,2004,Thailand,Free,labor wage dispute,,10000
13836,2004,Thailand,Free,labor wage dispute,,1000
13837,2004,Thailand,Free,labor wage dispute,,2000
13838,2004,Thailand,Free,labor wage dispute,,200
13839,2004,Thailand,Free,"political behavior, process",,100
13840,2004,Thailand,Free,labor wage dispute,,200
13841,2004,Thailand,Free,removal of politician,,1000
13842,2004,Thailand,Free,police brutality,,2000
13843,2005,Thailand,Partly free,"political behavior, process",,500
13844,2005,Thailand,Partly free,social restrictions,,5000
13845,2005,Thailand,Partly free,"political behavior, process",,1000
13846,2005,Thailand,Partly free,police brutality,,300
13847,2005,Thailand,Partly free,labor wage dispute,,20000
13848,2005,Thailand,Partly free,labor wage dispute,,1000
13849,2005,Thailand,Partly free,labor wage dispute,,19000
13850,2005,Thailand,Partly free,"price increases, tax policy",,1000
13851,2005,Thailand,Partly free,labor wage dispute,,50000
13852,2005,Thailand,Partly free,"price increases, tax policy",,100
13853,2005,Thailand,Partly free,labor wage dispute,,50000
13854,2005,Thailand,Partly free,removal of politician,,200
13855,2006,Thailand,Not free,"political behavior, process",,4000
13856,2006,Thailand,Not free,removal of politician,,100000
13857,2006,Thailand,Not free,removal of politician,,25000
13858,2006,Thailand,Not free,removal of politician,,24000
13859,2006,Thailand,Not free,removal of politician,,50000
13860,2006,Thailand,Not free,removal of politician,,100000
13861,2006,Thailand,Not free,removal of politician,,5000
13862,2006,Thailand,Not free,removal of politician,,100000
13863,2006,Thailand,Not free,removal of politician,,500
13864,2006,Thailand,Not free,removal of politician,,10000
13865,2006,Thailand,Not free,"political behavior, process",,500
13866,2006,Thailand,Not free,labor wage dispute,,1000
13867,2006,Thailand,Not free,police brutality,,200
13868,2006,Thailand,Not free,removal of politician,,5000
13869,2006,Thailand,Not free,removal of politician,,1000
13870,2006,Thailand,Not free,removal of politician,,100
13871,2006,Thailand,Not free,"political behavior, process",,1000
13872,2006,Thailand,Not free,removal of politician,,100
13873,2006,Thailand,Not free,removal of politician,,300
13874,2006,Thailand,Not free,labor wage dispute,,500
13875,2007,Thailand,Partly free,labor wage dispute,,2000
13876,2007,Thailand,Partly free,social restrictions,,300
13877,2007,Thailand,Partly free,"political behavior, process",,300
13878,2007,Thailand,Partly free,land farm issue,,50
13879,2007,Thailand,Partly free,removal of politician,,1000
13880,2007,Thailand,Partly free,removal of politician,,50
13881,2007,Thailand,Partly free,"political behavior, process",,50
13882,2007,Thailand,Partly free,social restrictions,,1700
13883,2007,Thailand,Partly free,labor wage dispute,,100
13884,2007,Thailand,Partly free,land farm issue,,2000
13885,2007,Thailand,Partly free,social restrictions,,3000
13886,2007,Thailand,Partly free,removal of politician,,10000
13887,2007,Thailand,Partly free,removal of politician,,3000
13888,2007,Thailand,Partly free,removal of politician,,2000
13889,2007,Thailand,Partly free,removal of politician,,260
13890,2007,Thailand,Partly free,removal of politician,,300
13891,2007,Thailand,Partly free,removal of politician,,40000
13892,2007,Thailand,Partly free,labor wage dispute,,300
13893,2007,Thailand,Partly free,labor wage dispute,,100
13894,2007,Thailand,Partly free,land farm issue,,1000
13895,2008,Thailand,Partly free,"political behavior, process",,15000
13896,2008,Thailand,Partly free,removal of politician,,1000
13897,2008,Thailand,Partly free,land farm issue,,1500
13898,2008,Thailand,Partly free,removal of politician,,50000
13899,2008,Thailand,Partly free,"price increases, tax policy",,1000
13900,2008,Thailand,Partly free,social restrictions,,3700
13901,2008,Thailand,Partly free,"political behavior, process",,5000
13902,2008,Thailand,Partly free,"political behavior, process",,2000
13903,2008,Thailand,Partly free,"political behavior, process",,500
13904,2008,Thailand,Partly free,"political behavior, process",,3000
13905,2008,Thailand,Partly free,"political behavior, process",,4000
13906,2008,Thailand,Partly free,removal of politician,,1000
13907,2008,Thailand,Partly free,police brutality,,100
13908,2008,Thailand,Partly free,"political behavior, process",,10000
13909,2008,Thailand,Partly free,removal of politician,,100000
13910,2008,Thailand,Partly free,removal of politician,,1000
13911,2008,Thailand,Partly free,"political behavior, process",,10000
13912,2008,Thailand,Partly free,removal of politician,,1000
13913,2009,Thailand,Partly free,"political behavior, process",,20000
13914,2009,Thailand,Partly free,"political behavior, process",,10000
13915,2009,Thailand,Partly free,removal of politician,,10000
13916,2009,Thailand,Partly free,removal of politician,,30000
13917,2009,Thailand,Partly free,removal of politician,,200000
13918,2009,Thailand,Partly free,removal of politician,,500
13919,2009,Thailand,Partly free,removal of politician,,20000
13920,2009,Thailand,Partly free,land farm issue,,50
13921,2009,Thailand,Partly free,removal of politician,,20000
13922,2009,Thailand,Partly free,land farm issue,,4000
13923,2009,Thailand,Partly free,"political behavior, process",,5000
13924,2009,Thailand,Partly free,"political behavior, process",,20000
13925,2009,Thailand,Partly free,"political behavior, process",,20000
13926,2010,Thailand,Partly free,land farm issue,,1000
13927,2010,Thailand,Partly free,"political behavior, process",,1500
13928,2010,Thailand,Partly free,"political behavior, process",,100
13929,2010,Thailand,Partly free,"political behavior, process",,10000
13930,2010,Thailand,Partly free,removal of politician,,150000
13931,2010,Thailand,Partly free,"political behavior, process",,1000
13932,2010,Thailand,Partly free,"political behavior, process",,50
13933,2010,Thailand,Partly free,police brutality,,10000
13934,2010,Thailand,Partly free,"political behavior, process",,1000
13935,2010,Thailand,Partly free,police brutality,,6000
13936,2010,Thailand,Partly free,police brutality,,1000
13937,2010,Thailand,Partly free,labor wage dispute,,500
13938,2011,Thailand,Partly free,police brutality,"political behavior, process",>30000
13939,2011,Thailand,Partly free,removal of politician,,1000s
13940,2011,Thailand,Partly free,police brutality,"political behavior, process",10000s
13941,2011,Thailand,Partly free,"political behavior, process",,1000s
13942,2012,Thailand,Partly free,"political behavior, process",,500
13943,2012,Thailand,Partly free,"political behavior, process",,2000
13944,2012,Thailand,Partly free,"political behavior, process",,>2000
13945,2012,Thailand,Partly free,"political behavior, process",,20000
13946,2012,Thailand,Partly free,"political behavior, process",removal of politician,14000
13947,2013,Thailand,Partly free,"political behavior, process",,1000s
13948,2013,Thailand,Partly free,labor wage dispute,,100s
13949,2013,Thailand,Partly free,"political behavior, process",,10000s
13950,2013,Thailand,Partly free,"political behavior, process",,1000s
13951,2013,Thailand,Partly free,"political behavior, process",,1000s
13952,2013,Thailand,Partly free,"political behavior, process",,10000s
13953,2013,Thailand,Partly free,"political behavior, process",removal of politician,>150000
13954,2013,Thailand,Partly free,"political behavior, process",removal of politician,100000
13955,2013,Thailand,Partly free,"political behavior, process",removal of politician,10000s
13956,2013,Thailand,Partly free,"political behavior, process",removal of politician,15000
13957,2013,Thailand,Partly free,"political behavior, process",removal of politician,1000s
13958,2013,Thailand,Partly free,"political behavior, process",removal of politician,1000s
13959,2013,Thailand,Partly free,"political behavior, process",removal of politician,1000s
13960,2013,Thailand,Partly free,removal of politician,,150000
13961,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13962,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13963,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13964,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13965,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13966,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13967,2013,Thailand,Partly free,removal of politician,"political behavior, process",10000s
13968,2013,Thailand,Partly free,"political behavior, process",,>50
13969,2013,Thailand,Partly free,"political behavior, process",,>100
13970,2014,Thailand,Not free,"political behavior, process",,1000s
13971,2014,Thailand,Not free,"political behavior, process",,80000
13972,2014,Thailand,Not free,"political behavior, process",,50+
13973,2014,Thailand,Not free,"political behavior, process",,50+
13974,2014,Thailand,Not free,"political behavior, process",,50+
13975,2014,Thailand,Not free,"political behavior, process",,50+
13976,2014,Thailand,Not free,"political behavior, process",removal of politician,50+
13977,2014,Thailand,Not free,"political behavior, process",,50+
13978,2014,Thailand,Not free,"price increases, tax policy",,1000s
13979,2014,Thailand,Not free,removal of politician,"price increases, tax policy",100s
13980,2014,Thailand,Not free,removal of politician,,1000s
13981,2014,Thailand,Not free,removal of politician,,10000s
13982,2014,Thailand,Not free,"political behavior, process",,50+
13983,2014,Thailand,Not free,"political behavior, process",,50+
13984,2014,Thailand,Not free,"political behavior, process",,100+
13985,2014,Thailand,Not free,"political behavior, process",,50+
13986,2015,Thailand,Not free,land farm issue,,100s
13987,2015,Thailand,Not free,"political behavior, process",,50
13988,2015,Thailand,Not free,labor wage dispute,"political behavior, process",150
13989,2015,Thailand,Not free,labor wage dispute,,500
13990,2015,Thailand,Not free,"political behavior, process",,>50
13991,2015,Thailand,Not free,police brutality,,300
13992,2015,Thailand,Not free,labor wage dispute,police brutality,>100
13993,2015,Thailand,Not free,land farm issue,,>300
13994,2015,Thailand,Not free,labor wage dispute,"political behavior, process",300
13995,2015,Thailand,Not free,land farm issue,"political behavior, process",>100
13996,2015,Thailand,Not free,labor wage dispute,"political behavior, process",1000
13997,2015,Thailand,Not free,"political behavior, process",,>50
13998,2015,Thailand,Not free,police brutality,,100s
13999,2015,Thailand,Not free,land farm issue,,100
14000,2015,Thailand,Not free,removal of politician,"political behavior, process",60
14001,2015,Thailand,Not free,"political behavior, process",land farm issue,>500
14002,2016,Thailand,Not free,"political behavior, process",,Some 100 demonstrators
14003,2016,Thailand,Not free,"political behavior, process",,About 50 protesters
14004,2016,Thailand,Not free,land farm issue,"political behavior, process",Around 300 local people
14005,2016,Thailand,Not free,"political behavior, process",,Up to 300 people
14011,2018,Thailand,Not free,"political behavior, process",,97 public organisations
14012,2018,Thailand,Not free,"political behavior, process",,"About 100 activists, including 39 suspects who were summoned, and 66 more suspects who would be summoned to face charges later"
14013,2018,Thailand,Not free,land farm issue,"political behavior, process",50+
14014,2018,Thailand,Not free,"political behavior, process",,About 200 people
14015,2018,Thailand,Not free,"political behavior, process",,50 people
14016,2018,Thailand,Not free,"political behavior, process",,ABOUT 130 members
14017,2018,Thailand,Not free,"political behavior, process",,About 200 people
14018,2018,Thailand,Not free,"political behavior, process",,100s
14019,2019,Thailand,Partly free,"political behavior, process",,About 200
14020,1991,Cambodia,Not free,"political behavior, process",,10000
14021,1991,Cambodia,Not free,removal of politician,,1000
14022,1991,Cambodia,Not free,removal of politician,,1000
14023,1994,Cambodia,Partly free,"political behavior, process",,1000
14024,1996,Cambodia,Not free,labor wage dispute,,3000
14025,1997,Cambodia,Not free,labor wage dispute,,400
14026,1997,Cambodia,Not free,"political behavior, process",,2000
14027,1998,Cambodia,Not free,"political behavior, process",,100
14028,1998,Cambodia,Not free,"political behavior, process",,100
14029,1998,Cambodia,Not free,"political behavior, process",,10000
14030,1998,Cambodia,Not free,"political behavior, process",,1000
14031,1998,Cambodia,Not free,"political behavior, process",,100
14032,1999,Cambodia,Not free,labor wage dispute,,200
14033,2000,Cambodia,Not free,land farm issue,,500
14034,2000,Cambodia,Not free,labor wage dispute,,100
14035,2000,Cambodia,Not free,"political behavior, process",,300
14036,2003,Cambodia,Not free,,,50
14037,2003,Cambodia,Not free,"price increases, tax policy",,1000
14038,2003,Cambodia,Not free,"political behavior, process",,1000
14039,2004,Cambodia,Not free,police brutality,,1000
14040,2004,Cambodia,Not free,,,1000
14041,2004,Cambodia,Not free,land farm issue,,600
14042,2006,Cambodia,Not free,"political behavior, process",,800
14043,2006,Cambodia,Not free,land farm issue,,50
14044,2007,Cambodia,Not free,"political behavior, process",,600
14045,2012,Cambodia,Not free,labor wage dispute,,6000
14046,2012,Cambodia,Not free,land farm issue,,>50
14047,2012,Cambodia,Not free,"political behavior, process",,500
14048,2013,Cambodia,Not free,police brutality,,>50
14049,2013,Cambodia,Not free,"political behavior, process",,20000
14050,2013,Cambodia,Not free,"political behavior, process",,20000
14051,2013,Cambodia,Not free,"political behavior, process",,1000s
14052,2013,Cambodia,Not free,labor wage dispute,,100s
14053,2013,Cambodia,Not free,labor wage dispute,,1000s-10000s
14054,2013,Cambodia,Not free,removal of politician,"political behavior, process",10000
14055,2014,Cambodia,Not free,labor wage dispute,,50+
14056,2014,Cambodia,Not free,labor wage dispute,,100s
14057,2014,Cambodia,Not free,removal of politician,,50+
14058,2014,Cambodia,Not free,"political behavior, process",,50+
14059,2014,Cambodia,Not free,"political behavior, process",,300
14060,2014,Cambodia,Not free,"political behavior, process",,100s
14061,2014,Cambodia,Not free,labor wage dispute,,50+
14062,2014,Cambodia,Not free,"political behavior, process",,1000s
14063,2015,Cambodia,Not free,"price increases, tax policy",,500
14064,2015,Cambodia,Not free,"political behavior, process",,>700
14065,2015,Cambodia,Not free,"political behavior, process",,>50
14066,2015,Cambodia,Not free,removal of politician,,1000s
14067,2015,Cambodia,Not free,labor wage dispute,,20000-30000
14068,2016,Cambodia,Not free,"political behavior, process",,>50
14069,2016,Cambodia,Not free,"political behavior, process",,>50
14070,2016,Cambodia,Not free,land farm issue,,>50
14072,2018,Cambodia,Not free,labor wage dispute,,2000
14073,2018,Cambodia,Not free,labor wage dispute,,<1000
14074,1999,Laos,Not free,"political behavior, process",,50
14075,2000,Laos,Not free,"political behavior, process",,200
14076,1993,Vietnam,Not free,"political behavior, process",social restrictions,100
14077,1993,Vietnam,Not free,"political behavior, process",,300
14078,1996,Vietnam,Not free,land farm issue,,400
14079,1996,Vietnam,Not free,land farm issue,,100
14080,1997,Vietnam,Not free,"price increases, tax policy",,1000
14081,1997,Vietnam,Not free,"price increases, tax policy",removal of politician,1000
14082,2000,Vietnam,Not free,"political behavior, process",removal of politician,75
14083,2001,Vietnam,Not free,social restrictions,land farm issue,1000
14084,2004,Vietnam,Not free,social restrictions,land farm issue,1000
14085,2006,Vietnam,Not free,labor wage dispute,,10000
14086,2006,Vietnam,Not free,labor wage dispute,,100
14087,2008,Vietnam,Not free,social restrictions,land farm issue,100
14088,2008,Vietnam,Not free,land farm issue,,100
14089,2010,Vietnam,Not free,police brutality,,100
14090,2011,Vietnam,Not free,"political behavior, process",,1000s
14091,2015,Vietnam,Not free,labor wage dispute,,100s
14092,2016,Vietnam,Not free,"political behavior, process",,"More than 4,000 people"
14094,2018,Vietnam,Not free,"political behavior, process",,1000s
14095,1993,Malaysia,Partly free,labor wage dispute,,500
14096,1993,Malaysia,Partly free,"political behavior, process",,1000
14097,1995,Malaysia,Partly free,labor wage dispute,,50
14098,1995,Malaysia,Partly free,"political behavior, process",,2000
14099,1995,Malaysia,Partly free,"political behavior, process",,50
14100,1996,Malaysia,Partly free,"political behavior, process",,350
14101,1996,Malaysia,Partly free,"political behavior, process",,500
14102,1996,Malaysia,Partly free,"political behavior, process",,50
14103,1997,Malaysia,Partly free,"political behavior, process",,600
14104,1997,Malaysia,Partly free,"political behavior, process",,500
14105,1997,Malaysia,Partly free,"political behavior, process",,200
14106,1997,Malaysia,Partly free,"political behavior, process",,40000
14107,1998,Malaysia,Partly free,"political behavior, process",,1000
14108,1998,Malaysia,Partly free,police brutality,,35000
14109,1998,Malaysia,Partly free,police brutality,,4000
14110,1998,Malaysia,Partly free,police brutality,,3000
14111,1998,Malaysia,Partly free,police brutality,,150000
14112,1998,Malaysia,Partly free,police brutality,,10000
14113,1998,Malaysia,Partly free,police brutality,,10000
14114,1998,Malaysia,Partly free,police brutality,,2000
14115,1998,Malaysia,Partly free,police brutality,,2000
14116,1998,Malaysia,Partly free,police brutality,,2000
14117,1999,Malaysia,Partly free,police brutality,,2000
14118,1999,Malaysia,Partly free,"price increases, tax policy",,600
14119,1999,Malaysia,Partly free,"price increases, tax policy",,1000
14120,1999,Malaysia,Partly free,labor wage dispute,,1000
14121,1999,Malaysia,Partly free,police brutality,,300
14122,1999,Malaysia,Partly free,police brutality,,400
14123,1999,Malaysia,Partly free,police brutality,,200
14124,1999,Malaysia,Partly free,police brutality,,10000
14125,2000,Malaysia,Partly free,police brutality,,200
14126,2000,Malaysia,Partly free,"political behavior, process",,1500
14127,2000,Malaysia,Partly free,social restrictions,,300
14128,2000,Malaysia,Partly free,police brutality,,150
14129,2000,Malaysia,Partly free,police brutality,,300
14130,2000,Malaysia,Partly free,police brutality,,200
14131,2000,Malaysia,Partly free,police brutality,,300
14132,2000,Malaysia,Partly free,police brutality,,50
14133,2000,Malaysia,Partly free,"political behavior, process",,10000
14134,2000,Malaysia,Partly free,police brutality,,2000
14135,2001,Malaysia,Partly free,police brutality,,100
14136,2001,Malaysia,Partly free,"political behavior, process",,400
14137,2001,Malaysia,Partly free,police brutality,,3000
14138,2001,Malaysia,Partly free,police brutality,,500
14139,2001,Malaysia,Partly free,"political behavior, process",,300
14140,2001,Malaysia,Partly free,police brutality,,200
14141,2001,Malaysia,Partly free,"political behavior, process",,2000
14142,2002,Malaysia,Partly free,social restrictions,,500
14143,2002,Malaysia,Partly free,labor wage dispute,,500
14144,2002,Malaysia,Partly free,"political behavior, process",,100
14145,2003,Malaysia,Partly free,"political behavior, process",,60
14146,2003,Malaysia,Partly free,"price increases, tax policy",,50
14147,2003,Malaysia,Partly free,"political behavior, process",,600
14148,2003,Malaysia,Partly free,police brutality,,100
14149,2004,Malaysia,Partly free,"political behavior, process",,234
14150,2005,Malaysia,Partly free,police brutality,,1000
14151,2006,Malaysia,Partly free,"price increases, tax policy",,2000
14152,2006,Malaysia,Partly free,"price increases, tax policy",,2000
14153,2006,Malaysia,Partly free,"price increases, tax policy",,300
14154,2006,Malaysia,Partly free,"political behavior, process",,350
14155,2006,Malaysia,Partly free,"political behavior, process",,500
14156,2006,Malaysia,Partly free,"price increases, tax policy",,300
14157,2007,Malaysia,Partly free,"price increases, tax policy",,50
14158,2007,Malaysia,Partly free,social restrictions,,500
14159,2007,Malaysia,Partly free,land farm issue,,700
14160,2007,Malaysia,Partly free,"political behavior, process",,30000
14161,2007,Malaysia,Partly free,"political behavior, process",,3000
14162,2007,Malaysia,Partly free,police brutality,,250
14163,2008,Malaysia,Partly free,police brutality,,300
14164,2008,Malaysia,Partly free,police brutality,,100
14165,2008,Malaysia,Partly free,"political behavior, process",,1000
14166,2008,Malaysia,Partly free,"political behavior, process",,2000
14167,2008,Malaysia,Partly free,police brutality,,100
14168,2008,Malaysia,Partly free,"price increases, tax policy",,50
14169,2008,Malaysia,Partly free,"price increases, tax policy",,5000
14170,2008,Malaysia,Partly free,"political behavior, process",,150
14171,2008,Malaysia,Partly free,"political behavior, process",,1900
14172,2008,Malaysia,Partly free,police brutality,,2000
14173,2008,Malaysia,Partly free,"political behavior, process",,300
14174,2008,Malaysia,Partly free,police brutality,,100
14175,2009,Malaysia,Partly free,"political behavior, process",,50
14176,2009,Malaysia,Partly free,"political behavior, process",,3000
14177,2009,Malaysia,Partly free,"political behavior, process",,5000
14178,2009,Malaysia,Partly free,social restrictions,,3000
14179,2009,Malaysia,Partly free,"political behavior, process",,64
14180,2009,Malaysia,Partly free,police brutality,,300
14181,2009,Malaysia,Partly free,"political behavior, process",,100
14182,2009,Malaysia,Partly free,police brutality,,10000
14183,2009,Malaysia,Partly free,removal of politician,,200
14184,2010,Malaysia,Partly free,removal of politician,,200
14185,2010,Malaysia,Partly free,"political behavior, process",,1000
14186,2010,Malaysia,Partly free,"political behavior, process",,100
14187,2010,Malaysia,Partly free,"price increases, tax policy",,500
14188,2010,Malaysia,Partly free,social restrictions,,50
14189,2010,Malaysia,Partly free,removal of politician,,4000
14190,2010,Malaysia,Partly free,"political behavior, process",,200
14191,2011,Malaysia,Partly free,"political behavior, process",,5000
14192,2011,Malaysia,Partly free,"political behavior, process",,500
14193,2011,Malaysia,Partly free,police brutality,,>50
14194,2012,Malaysia,Partly free,land farm issue,,3000
14195,2012,Malaysia,Partly free,"political behavior, process",,40000
14196,2013,Malaysia,Partly free,"political behavior, process",,10000
